Animal;Session;Behaviour_1;Offered_1;Behaviour_2;Offered_2
Charlie;4;leg;leg;spin;spin
Charlie;4;repeat;spin;repeat;fluff
Charlie;4;fluff;fluff;wings;wings
Charlie;4;spin;spin;leg;leg
Charlie;4;repeat;leg;fluff;fluff
Charlie;4;spin;spin;repeat;spin
Charlie;4;repeat;spin;fluff;fluff
Charlie;4;spin;spin;wings;wings
Charlie;4;repeat;wings;repeat;wings
Charlie;4;spin;spin;wings;wings
Charlie;4;fluff;fluff;repeat;wings
Charlie;4;wings;wings;leg;leg
Charlie;4;repeat;leg;repeat;leg
Charlie;4;wings;wings;fluff;fluff
Charlie;4;repeat;fluff;repeat;fluff
Charlie;4;wings;wings;spin;spin
Charlie;4;repeat;spin;wings;wings
Charlie;4;repeat;wings;repeat;wings
Charlie;4;leg;leg;fluff;fluff
Charlie;4;leg;leg;repeat;leg
Charlie;4;repeat;leg;spin;spin
Charlie;4;fluff;fluff;leg;leg
Charlie;5;wings;wings;leg;leg
Charlie;5;leg;leg;repeat;leg
Charlie;5;fluff;fluff;repeat;leg
Charlie;5;repeat;wings;wings;wings
Charlie;5;leg;leg;spin;spin
Charlie;5;fluff;fluff;wings;wings
Charlie;5;repeat;wings;repeat;wings
Charlie;5;leg;leg;fluff;wings
Charlie;5;wings;wings;spin;spin
Charlie;5;repeat;spin;repeat;spin
Charlie;5;wings;wings;wings;wings
Charlie;5;repeat;wings;spin;spin
Charlie;5;fluff;fluff;repeat;fluff
Charlie;5;repeat;fluff;leg;leg
Charlie;5;spin;spin;repeat;fluff
Charlie;5;leg;leg;repeat;leg
Charlie;5;repeat;leg;fluff;fluff
Charlie;5;leg;leg;repeat;leg
Charlie;5;repeat;leg;wings;wings
Charlie;5;spin;spin;fluff;fluff
Charlie;5;repeat;fluff;spin;spin
Charlie;5;fluff;fluff;fluff;fluff
Charlie;5;spin;spin;repeat;fluff
Charlie;5;repeat;fluff;leg;leg
Charlie;5;wings;wings;repeat;wings
Charlie;5;repeat;wings;spin;spin
Gargamel;1;spin;spin;fluff;fluff
Gargamel;1;wings;wings;repeat;wings
Gargamel;1;leg;leg;repeat;leg
Gargamel;1;repeat;leg;spin;spin
Gargamel;1;wings;wings;fluff;fluff
Gargamel;1;repeat;wings;repeat;wings
Gargamel;1;spin;spin;repeat;fluff
Gargamel;1;leg;leg;fluff;fluff
Gargamel;1;leg;leg;wings;wings
Gargamel;1;repeat;wings;repeat;wings
Gargamel;1;spin;spin;repeat;wings
Gargamel;1;repeat;wings;wings;wings
Gargamel;1;leg;leg;repeat;leg
Gargamel;1;repeat;leg;spin;spin
Gargamel;1;leg;leg;wings;wings
Gargamel;1;repeat;wings;repeat;wings
Gargamel;1;fluff;fluff;repeat;fluff
Gargamel;1;leg;fluff;fluff;fluff
Gargamel;1;wings;wings;spin;spin
Gargamel;1;repeat;spin;repeat;spin
Gargamel;1;fluff;fluff;repeat;spin
Gargamel;1;repeat;spin;spin;spin
Gargamel;1;wings;wings;leg;leg
Gargamel;1;fluff;fluff;leg;leg
Gargamel;1;repeat;leg;wings;wings
Gargamel;1;fluff;fluff;spin;spin
Mr Huang;7;fluff;fluff;wings;wings
Mr Huang;7;fluff;fluff;repeat;fluff
Mr Huang;7;repeat;fluff;spin;spin
Mr Huang;7;wings;wings;repeat;wings
Mr Huang;7;repeat;wings;leg;leg
Mr Huang;7;fluff;fluff;fluff;fluff
Mr Huang;7;repeat;fluff;wings;wings
Mr Huang;7;repeat;fluff;leg;leg
Mr Huang;7;wings;wings;repeat;wings
Mr Huang;7;repeat;wings;spin;spin
Mr Huang;7;fluff;fluff;wings;wings
Mr Huang;7;leg;leg;repeat;fluff
Mr Huang;7;repeat;fluff;spin;spin
Mr Huang;7;repeat;fluff;spin;spin
Mr Huang;7;wings;wings;spin;spin
Mr Huang;7;repeat;spin;repeat;fluff
Mr Huang;7;leg;leg;leg;leg
Mr Huang;7;repeat;leg;wings;wings
Mr Huang;7;fluff;fluff;leg;leg
Mr Huang;7;fluff;fluff;repeat;fluff
Mr Huang;7;repeat;fluff;spin;spin
Mr Huang;7;leg;leg;repeat;fluff
Mr Huang;7;repeat;leg;wings;wings
Mr Huang;7;spin;spin;repeat;spin
Mr Huang;7;repeat;spin;leg;leg
Mr Huang;7;fluff;fluff;spin;spin
Mr Huang;8;fluff;fluff;leg;leg
Mr Huang;8;repeat;leg;leg;leg
Mr Huang;8;fluff;fluff;repeat;leg
Mr Huang;8;repeat;leg;wings;wings
Mr Huang;8;fluff;fluff;wings;wings
Mr Huang;8;repeat;wings;repeat;wings
Mr Huang;8;leg;leg;leg;leg
Mr Huang;8;spin;spin;repeat;spin
Mr Huang;8;fluff;fluff;wings;wings
Mr Huang;8;leg;leg;repeat;leg
Mr Huang;8;repeat;leg;spin;spin
Mr Huang;8;wings;wings;repeat;wings
Mr Huang;8;spin;spin;repeat;wings
Mr Huang;8;repeat;wings;spin;spin
Mr Huang;8;fluff;fluff;repeat;spin
Mr Huang;8;fluff;fluff;leg;leg
Mr Huang;8;repeat;leg;repeat;leg
Mr Huang;8;leg;leg;spin;spin
Mr Huang;8;wings;wings;repeat;wings
Mr Huang;8;repeat;wings;spin;spin
Mr Huang;8;repeat;fluff+spin;repeat;spin
Mr Huang;8;leg;leg;wings;wings
Mr Huang;8;spin;spin;fluff;fluff
Mr Huang;8;repeat;fluff;repeat;fluff
Mr Huang;8;spin;spin;wings;wings
Mr Huang;8;fluff;fluff;wings;wings
Charlie;6;spin;spin;fluff;fluff
Charlie;6;wings;wings;leg;leg
Charlie;6;leg;leg;repeat;leg
Charlie;6;fluff;fluff;wings;wings
Charlie;6;wings;wings;repeat;wings + leg
Charlie;6;repeat;leg;spin;spin
Charlie;6;repeat;spin;spin;spin
Charlie;6;leg;leg;repeat;leg
Charlie;6;repeat;leg;spin;spin
Charlie;6;spin;spin;repeat;leg
Charlie;6;repeat;spin;fluff;fluff
Charlie;6;fluff;fluff;repeat;fluff
Charlie;6;leg;leg;repeat;leg
Charlie;6;repeat;leg;fluff;fluff
Charlie;6;spin;spin;leg;leg
Charlie;6;wings;wings;repeat;wings
Charlie;6;repeat;wings;fluff;fluff
Charlie;6;repeat;fluff;repeat;fluff
Charlie;6;leg;leg;leg;leg
Charlie;6;fluff;fluff;repeat;leg
Charlie;6;repeat;spin;leg;leg
Charlie;6;spin;spin;repeat;spin
Charlie;6;repeat;spin;wings;wings
Charlie;6;wings;wings;spin;spin
Charlie;6;wings;wings;repeat;wings
Charlie;6;fluff;wings;wings;wings
Charlie;7;fluff;fluff;wings;wings
Charlie;7;fluff;fluff;repeat;leg
Charlie;7;repeat;spin;spin;spin
Charlie;7;wings;wings;repeat;wings
Charlie;7;repeat;wings;leg;leg
Charlie;7;fluff;fluff;fluff;fluff
Charlie;7;repeat;fluff;wings;wings
Charlie;7;repeat;wings;leg;leg
Charlie;7;wings;wings;repeat;leg
Charlie;7;repeat;spin;spin;spin
Charlie;7;fluff;fluff;wings;wings
Charlie;7;leg;leg;repeat;leg
Charlie;7;repeat;leg;spin;spin
Charlie;7;repeat;spin;spin;spin
Charlie;7;wings;wings;spin;spin
Charlie;7;repeat;spin;repeat;spin
Charlie;7;leg;leg;leg;leg
Charlie;7;repeat;leg;wings;wings
Charlie;7;fluff;fluff;leg;leg
Charlie;7;fluff;fluff;repeat;fluff
Charlie;7;repeat;fluff;spin;spin
Charlie;7;leg;leg;repeat;leg
Charlie;7;repeat;fluff;wings;wings
Charlie;7;spin;spin;repeat;spin
Charlie;7;repeat;spin;leg;leg
Charlie;7;fluff;fluff;spin;spin
Charlie;8;fluff;fluff;leg;leg
Charlie;8;repeat;fluff+leg;leg;leg
Charlie;8;fluff;fluff;repeat;leg
Charlie;8;repeat;fluff;wings;wings
