Animal;Session;correct.or.not.1;correct.or.not.2;delay;b1;b2
Charlie;10;c;c;6;fluff;repeat
Charlie;10;c;c;9;leg;repeat
Charlie;10;c;n;12;spin;repeat
Charlie;10;c;c;9;spin;leg
MrHuang;10;c;c;3;spin;repeat
MrHuang;10;c;c;6;wings;fluff
MrHuang;10;c;c;6;fluff;repeat
MrHuang;10;c;n;9;leg;repeat
MrHuang;10;c;n;6;wings;repeat
MrHuang;10;c;n;3;spin;repeat
MrHuang;10;c;c;3;fluff;spin
MrHuang;10;c;c;3;wings;repeat
MrHuang;10;c;c;6;fluff;repeat
MrHuang;10;c;c;9;wings;leg
MrHuang;10;c;c;9;wings;repeat
MrHuang;10;c;n;12;leg;repeat
MrHuang;10;c;c;9;fluff;repeat
MrHuang;10;c;n;12;leg;repeat
MrHuang;10;c;n;9;spin;repeat
MrHuang;10;c;c;6;spin;leg
Charlie;11;c;c;3;leg;spin
Charlie;11;c;n;3;leg;repeat
Charlie;11;c;c;3;spin;repeat
Charlie;11;c;n;6;wings;repeat
Charlie;11;c;c;3;spin;repeat
Charlie;11;c;n;6;leg;repeat
Charlie;11;c;c;3;leg;fluff
Charlie;11;c;n;3;fluff;repeat
Charlie;11;c;c;3;wings;repeat
Charlie;11;c;c;6;wings;spin
Charlie;11;c;n;6;leg;repeat
Charlie;11;c;n;3;fluff;repeat
Charlie;11;c;c;3;fluff;wings
Charlie;11;c;n;3;fluff;repeat
Charlie;11;c;n;3;spin;repeat
Charlie;11;c;c;3;wings;repeat
MrHuang;11;c;c;3;leg;spin
MrHuang;11;c;n;3;leg;repeat
MrHuang;11;c;c;3;spin;repeat
MrHuang;11;c;c;6;wings;repeat
MrHuang;11;c;n;9;spin;repeat
MrHuang;11;c;n;6;leg;repeat
MrHuang;11;c;c;3;leg;fluff
MrHuang;11;c;n;3;fluff;repeat
MrHuang;11;c;c;3;wings;repeat
MrHuang;11;c;c;6;wings;spin
MrHuang;11;c;n;6;leg;repeat
MrHuang;11;c;c;3;fluff;repeat
MrHuang;11;c;c;6;fluff;wings
MrHuang;11;c;n;6;fluff;repeat
MrHuang;11;c;c;3;spin;repeat
MrHuang;11;c;c;6;wings;repeat
Charlie;12;c;n;3;fluff;repeat
Charlie;12;c;c;3;spin;repeat
Charlie;12;c;c;6;fluff;repeat
Charlie;12;c;c;9;leg;repeat
Charlie;12;c;c;12;wings;wings
Charlie;12;c;c;12;spin;repeat
Charlie;12;c;n;15;wings;repeat
Charlie;12;c;c;12;fluff;spin
Charlie;12;c;n;12;wings;repeat
Charlie;12;c;n;9;leg;repeat
Charlie;12;c;n;6;leg;repeat
Charlie;12;c;c;3;spin;repeat
Charlie;12;c;c;6;leg;fluff
Charlie;12;c;c;6;spin;leg
Charlie;12;c;n;6;fluff;repeat
Charlie;12;c;c;3;wings;repeat
MrHuang;12;c;c;3;fluff;repeat
MrHuang;12;c;c;6;spin;repeat
MrHuang;12;c;n;9;fluff;repeat
MrHuang;12;c;n;6;leg;repeat
MrHuang;12;c;c;3;wings;wings
MrHuang;12;c;c;3;spin;repeat
MrHuang;12;c;c;6;wings;repeat
MrHuang;12;c;c;9;fluff;spin
MrHuang;12;c;n;9;wings;repeat
MrHuang;12;c;c;6;leg;repeat
MrHuang;12;c;n;9;leg;repeat
MrHuang;12;c;n;6;spin;repeat
MrHuang;12;c;c;3;leg;fluff
MrHuang;12;c;c;3;spin;leg
MrHuang;12;c;c;3;fluff;repeat
MrHuang;12;c;n;6;wings;repeat
Gargamel;1;c;c;3;fluff;repeat
Gargamel;1;c;c;6;wings;repeat
Gargamel;1;c;n;9;spin;repeat
Gargamel;1;c;c;6;fluff;repeat
Gargamel;1;c;c;9;spin;fluff
Gargamel;1;c;n;9;leg;repeat
Gargamel;1;c;c;6;wings;repeat
Gargamel;1;c;c;9;leg;leg
Gargamel;1;c;c;9;spin;wings
Gargamel;1;c;n;9;leg;repeat
Gargamel;1;c;n;6;spin;repeat
Gargamel;1;c;c;3;fluff;wings
Gargamel;1;c;c;3;leg;repeat
Gargamel;1;c;c;6;fluff;repeat
Gargamel;1;c;c;9;spin;repeat
Gargamel;1;c;n;12;wings;repeat
Gargamel;2;c;c;3;leg;spin
Gargamel;2;c;c;3;wings;repeat
Gargamel;2;c;c;6;spin;repeat
Gargamel;2;c;c;9;fluff;repeat
Gargamel;2;c;c;12;leg;fluff
Gargamel;2;c;n;12;wings;repeat
Gargamel;2;c;n;9;fluff;repeat
Gargamel;2;c;n;6;leg;repeat
Gargamel;2;c;c;3;wings;fluff
Gargamel;2;c;n;3;leg;repeat
Gargamel;2;c;n;3;wings;repeat
Gargamel;2;c;c;3;fluff;repeat
Gargamel;2;c;c;6;spin;wings
Gargamel;2;c;c;6;spin;repeat
Gargamel;2;c;c;9;leg;repeat
Gargamel;2;c;c;12;spin;repeat
Gargamel;3;c;c;3;leg;repeat
Gargamel;3;c;n;6;fluff;repeat
Gargamel;3;c;c;3;wings;wings
Gargamel;3;c;n;3;spin;repeat
Gargamel;3;c;n;3;fluff;repeat
Gargamel;3;c;n;3;wings;repeat
Gargamel;3;c;c;3;spin;repeat
Gargamel;3;c;c;6;leg;fluff
Gargamel;3;c;c;6;leg;repeat
Gargamel;3;c;c;9;fluff;spin
Gargamel;3;c;c;9;wings;repeat
Gargamel;3;c;n;12;spin;repeat
Gargamel;3;c;n;9;leg;repeat
Gargamel;3;c;c;6;spin;leg
Gargamel;3;c;n;6;fluff;repeat
Gargamel;3;c;n;3;wings;repeat
Gargamel;4;c;c;3;spin;repeat
Gargamel;4;c;c;6;wings;fluff
Gargamel;4;c;n;6;fluff;repeat
Gargamel;4;c;c;3;leg;repeat
Gargamel;4;c;n;6;wings;repeat
Gargamel;4;c;c;3;spin;repeat
Gargamel;4;c;c;6;fluff;spin
Gargamel;4;c;c;6;wings;repeat
Gargamel;4;c;c;9;fluff;repeat
Gargamel;4;c;c;12;wings;leg
Gargamel;4;c;c;12;wings;repeat
Gargamel;4;c;n;15;leg;repeat
Gargamel;4;c;n;12;fluff;repeat
Gargamel;4;c;c;9;leg;repeat
Gargamel;4;c;n;12;spin;repeat
Gargamel;4;c;c;9;spin;leg
Gargamel;5;c;c;3;leg;spin
Gargamel;5;c;n;3;leg;repeat
Gargamel;5;c;n;3;spin;repeat
Gargamel;5;c;n;3;wings;repeat
Gargamel;5;c;c;3;spin;repeat
Gargamel;5;c;n;6;leg;repeat
Gargamel;5;c;c;3;leg;fluff
Gargamel;5;c;c;3;fluff;repeat
Gargamel;5;c;c;6;wings;repeat
Gargamel;5;c;c;9;wings;spin
Gargamel;5;c;n;9;leg;repeat
Gargamel;5;c;c;6;fluff;repeat
Gargamel;5;c;c;9;fluff;wings
Gargamel;5;c;n;9;fluff;repeat
Gargamel;5;c;c;6;spin;repeat
Gargamel;5;c;c;9;wings;repeat
Gargamel;6;c;n;3;fluff;repeat
Gargamel;6;c;c;3;spin;repeat
Gargamel;6;c;c;6;fluff;repeat
Gargamel;6;c;c;9;leg;repeat
Gargamel;6;c;c;12;wings;wings
Gargamel;6;c;n;12;spin;repeat
Gargamel;6;c;c;9;wings;repeat
Gargamel;6;c;c;12;fluff;spin
Gargamel;6;c;c;12;wings;repeat
Gargamel;6;c;c;15;leg;repeat
Gargamel;6;c;n;18;leg;repeat
Gargamel;6;c;n;15;spin;repeat
Gargamel;6;c;c;12;leg;fluff
Gargamel;6;c;c;12;spin;leg
Gargamel;6;c;c;12;fluff;repeat
Gargamel;6;c;c;15;wings;repeat
Gargamel;7;c;n;3;fluff;repeat
Gargamel;7;c;c;3;wings;repeat
Gargamel;7;c;n;6;spin;repeat
Gargamel;7;c;n;3;fluff;repeat
Gargamel;7;c;c;3;spin;fluff
Gargamel;7;c;n;3;leg;repeat
Gargamel;7;c;c;3;wings;repeat
Gargamel;7;c;c;6;leg;leg
Gargamel;7;c;c;6;spin;wings
Gargamel;7;c;n;6;leg;repeat
Gargamel;7;c;c;3;spin;repeat
Gargamel;7;c;c;6;fluff;wings
Gargamel;7;c;n;6;leg;repeat
Gargamel;7;c;c;3;fluff;repeat
Gargamel;7;c;c;6;spin;repeat
Gargamel;7;c;n;9;wings;repeat
Gargamel;8;c;c;3;leg;spin
Gargamel;8;c;c;3;wings;repeat
Gargamel;8;c;n;6;spin;repeat
Gargamel;8;c;c;3;fluff;repeat
Gargamel;8;c;c;6;leg;fluff
Gargamel;8;c;c;6;wings;repeat
Gargamel;8;c;c;9;fluff;repeat
Gargamel;8;c;n;12;leg;repeat
Gargamel;8;c;c;9;wings;fluff
Gargamel;8;c;c;9;leg;repeat
Gargamel;8;c;n;12;wings;repeat
Gargamel;8;c;c;9;fluff;repeat
Gargamel;8;c;c;12;spin;wings
Gargamel;8;c;c;12;spin;repeat
Gargamel;8;c;c;15;leg;repeat
Gargamel;8;c;n;18;spin;repeat
Gargamel;9;c;c;3;leg;repeat
Gargamel;9;c;c;6;fluff;repeat
Gargamel;9;c;c;9;wings;wings
Gargamel;9;c;n;9;spin;repeat
Gargamel;9;c;c;6;fluff;repeat
Gargamel;9;c;c;9;wings;repeat
Gargamel;9;c;c;12;spin;repeat
Gargamel;9;c;c;15;leg;fluff
Gargamel;9;c;n;15;leg;repeat
Gargamel;9;c;c;12;fluff;spin
Gargamel;9;c;c;12;wings;repeat
Gargamel;9;c;n;15;spin;repeat
Gargamel;9;c;n;12;leg;repeat
Gargamel;9;c;c;9;spin;leg
Gargamel;9;c;n;9;fluff;repeat
Gargamel;9;c;c;6;wings;repeat
Gargamel;10;c;n;3;spin;repeat
Gargamel;10;c;c;3;wings;fluff
Gargamel;10;c;n;3;fluff;repeat
Gargamel;10;c;c;3;leg;repeat
Gargamel;10;c;n;6;wings;repeat
Gargamel;10;c;n;3;spin;repeat
Gargamel;10;c;c;3;fluff;spin
Gargamel;10;c;n;3;wings;repeat
Gargamel;10;c;n;3;fluff;repeat
Gargamel;10;c;c;3;wings;leg
Gargamel;10;c;n;3;wings;repeat
Gargamel;10;c;c;3;leg;repeat
Gargamel;10;c;c;6;fluff;repeat
Gargamel;10;c;c;9;leg;repeat
Gargamel;10;c;n;12;spin;repeat
Gargamel;10;c;c;9;spin;leg
Gargamel;11;c;c;3;leg;spin
Gargamel;11;c;c;3;leg;repeat
Gargamel;11;c;n;6;spin;repeat
Gargamel;11;c;c;3;wings;repeat
Gargamel;11;c;n;6;spin;repeat
Gargamel;11;c;c;3;leg;repeat
Gargamel;11;c;c;6;leg;fluff
Gargamel;11;c;n;6;fluff;repeat
Gargamel;11;c;n;3;wings;repeat
Gargamel;11;c;c;3;wings;spin
Gargamel;11;c;c;3;leg;repeat
Gargamel;11;c;n;6;fluff;repeat
Gargamel;11;c;c;3;fluff;wings
Gargamel;11;c;n;3;fluff;repeat
Gargamel;11;c;n;3;spin;repeat
Gargamel;11;c;c;3;wings;repeat
Gargamel;12;c;n;3;fluff;repeat
Gargamel;12;c;n;3;spin;repeat
Gargamel;12;c;n;3;fluff;repeat
Gargamel;12;c;c;3;leg;repeat
Gargamel;12;c;c;6;wings;wings
Gargamel;12;c;n;6;spin;repeat
Gargamel;12;c;n;3;wings;repeat
Gargamel;12;c;c;3;fluff;spin
Gargamel;12;c;c;3;wings;repeat
Gargamel;12;c;c;6;leg;repeat
Gargamel;12;c;n;9;leg;repeat
Gargamel;12;c;n;6;spin;repeat
Gargamel;12;c;c;3;leg;fluff
Gargamel;12;c;c;3;spin;leg
Gargamel;12;c;c;3;fluff;repeat
Gargamel;12;c;c;6;wings;repeat
